id;nom;prenom;contact;email
1;la monitoring;SCSI Account;invoice Ergonomic;Colin88@gmail.com
2;forecast Nord-Pas-de-Calais Re-contextualized;uniform des Sports;Open-architected;Abelin.Lemaire80@gmail.com
3;AI impactful Awesome;Lepic;Card;Chrysole51@yahoo.fr
4;Multi-tiered Som indigo;hack;a c programming;Mamert_Chevalier67@yahoo.fr
5;sensor;auxiliary 24/7 primary;benchmark;Maureen_Huet@yahoo.fr
6;b RSS Directeur;partnerships synthesizing;Function-based Directeur c;Xavier42@gmail.com
7;cross-platform Buckinghamshire Dinar;initiatives Integrated;maroon synthesize;Aim.Bourgeois@hotmail.fr
8;moderator;mobile Tasty;application deposit;Patrice_Dupuis85@yahoo.fr
9;Borders;de redefine;Trinité-et-Tobago Denar recontextualize;Olivier41@yahoo.fr
10;Bourgogne Poitou-Charentes;Fresh Haute-Normandie homogeneous;Designer;Toussaint.Martin@yahoo.fr
